Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,Afghanistan,14/11/2022 04:21,33.93911,67.709953,204510,7829,,,Afghanistan,525.3498987,3.828174661
,Albania,14/11/2022 04:21,41.1533,20.1683,333156,3593,,,Albania,11576.76003,1.078473748
,Algeria,14/11/2022 04:21,28.0339,1.6596,270939,6881,,,Algeria,617.8621567,2.539686055
,Andorra,14/11/2022 04:21,42.5063,1.5218,46664,155,,,Andorra,60394.74536,0.332161838
,Angola,14/11/2022 04:21,-11.2027,17.8739,103131,1917,,,Angola,313.7898103,1.858800942
,Antarctica,14/11/2022 04:21,-71.9499,23.347,11,0,,,Antarctica,,0
,Antigua and Barbuda,14/11/2022 04:21,17.0608,-61.7964,9106,146,,,Antigua and Barbuda,9298.668409,1.603338458
,Argentina,14/11/2022 04:21,-38.4161,-63.6167,9721718,130011,,,Argentina,21510.23535,1.337325358
,Armenia,14/11/2022 04:21,40.0691,45.0382,445397,8709,,,Armenia,15030.77381,1.95533423
Australian Capital Territory,Australia,14/11/2022 04:21,-35.4735,149.0124,210609,128,,,"Australian Capital Territory, Australia",49196.21584,0.06077613
New South Wales,Australia,14/11/2022 04:21,-33.8688,151.2093,3581110,5476,,,"New South Wales, Australia",44113.20522,0.152913482
Northern Territory,Australia,14/11/2022 04:21,-12.4634,130.8456,99128,79,,,"Northern Territory, Australia",40361.56352,0.07969494
Queensland,Australia,14/11/2022 04:21,-27.4698,153.0251,1673798,2303,,,"Queensland, Australia",32720.12511,0.137591274
South Australia,Australia,14/11/2022 04:21,-34.9285,138.6007,791713,1058,,,"South Australia, Australia",45073.32764,0.133634284
Tasmania,Australia,14/11/2022 04:21,-42.8821,147.3272,256075,199,,,"Tasmania, Australia",47819.79458,0.077711608
Victoria,Australia,14/11/2022 04:21,-37.8136,144.9631,2681924,5907,,,"Victoria, Australia",40451.95252,0.220252326
